B19013_001E,state,zipcode,state_code
62770,Pennsylvania,17043,42
49265,Pennsylvania,17046,42
52000,Pennsylvania,17051,42
67609,Pennsylvania,17053,42
73537,Pennsylvania,17055,42
66429,Pennsylvania,17855,42
59390,Pennsylvania,17821,42
54250,Pennsylvania,17836,42
56713,Pennsylvania,17840,42
54612,Pennsylvania,17859,42
32816,Pennsylvania,17872,42
66375,Pennsylvania,17885,42
40987,Pennsylvania,17934,42
53542,Pennsylvania,17941,42
67880,Pennsylvania,17961,42
58214,Pennsylvania,17967,42
48750,Pennsylvania,17974,42
35282,Pennsylvania,17976,42
51959,Pennsylvania,17981,42
56940,Pennsylvania,17052,42
49020,Pennsylvania,17063,42
43750,Pennsylvania,17069,42
-666666666,Pennsylvania,17343,42
86133,Pennsylvania,17347,42
72934,Pennsylvania,17365,42
61450,Pennsylvania,17505,42
48197,Pennsylvania,17512,42
70313,Pennsylvania,17518,42
77770,Pennsylvania,17520,42
60642,Pennsylvania,17522,42
57500,Pennsylvania,17752,42
48000,Pennsylvania,17763,42
52212,Pennsylvania,17765,42
51286,Pennsylvania,17841,42
36071,Pennsylvania,17851,42
-666666666,Pennsylvania,16132,42
32528,Pennsylvania,16146,42
53909,Pennsylvania,16150,42
43108,Pennsylvania,16210,42
42500,Pennsylvania,16213,42
45168,Pennsylvania,16226,42
66233,Pennsylvania,16229,42
44821,Pennsylvania,16230,42
45357,Pennsylvania,16232,42
48558,Pennsylvania,16240,42
61875,Pennsylvania,16244,42
56731,Pennsylvania,16262,42
62045,Pennsylvania,16316,42
57500,Pennsylvania,16319,42
97948,Pennsylvania,15143,42
54777,Pennsylvania,15144,42
